𬪸	⿰酉照	ショウ	p:照
𬪹	⿳𭯍？酉		
𬪺	⿰釆广	コウ	v:𨤡
𬪻	⿰釆去	かえる	u
𬪼	⿰重夕	セキ	p:夕
𬪽	⿰重⿱⿰㇒㇖丨	コン シ	p:丨
𬪾	⿰重厄	ヤク	p:厄
𬪿	⿰亞厘	センチアール	u
𬫀	⿰野圭	ケイ ケ	p:圭
𬫁	⿱赦厘	リン	p:厘
𬫂	⿰釒历	レイ ライ	p:历
𬫃	⿰釒王	オウ	p:王
𬫄	⿰釒片	かつち	u
𬫅	⿱⿰亻卩金	セツ	p:卩
𬫆	⿰釒⿱一友	ユウ	p:友
𬫇	⿰釒弍	ニ ジ	p:弍
𬫈	⿱叩金	コウ	p:叩
𬫉	⿰釒用	ヨウ	p:用
𬫊	⿰釒仟	セン	p:仟
𬫋	⿰釒⿱㇒反	ハン ホン	p:反
𬫌	⿰釒氐	テイ タイ	p:氐
𬫍	⿰釒戎	シュツ シュチ のこぎりのおと	v:銊
𬫎	⿱⿰土刃金	ジン ニン	p:刃
𬫏	⿰釒旨	シ	p:旨
𬫐	⿰釒尗	シュク	p:尗
𬫑	⿰釒行	かつち	u
𬫒	⿰釒⿻丷夫	フ フウ	p:夫
𬫓	⿰釒好	コウ	p:好
𬫔	⿱圽金	ボツ モチ	p:圽
𬫕	⿰釒杉	サン	p:杉
𬫖	⿰釒⿱二且	すき	u
𬫗	⿰釒芆	はさみ	u
𬫘	⿰釒⿱山欠	ケツ ケン	p:欠
𬫙	⿰釒甹	ヘイ ビョウ	p:甹
𬫚	⿰釒呙	カイ ケ	p:呙
𬫛	⿰釒作	サク サ	p:作
𬫜	⿱⿰亻叩金	コウ	p:叩
𬫝	⿰釒庒	ショウ	u
𬫞	⿰釒灷	セン ゼン	p:灷
𬫟	⿰釒灵	レイ リョウ	p:灵
𬫠	⿰釒呇	ふくりん	u
𬫡	⿰釒亟	キョク キ	p:亟
𬫢	⿰釒盂	ウ	p:盂
𬫣	⿰釒𫻩		
𬫤	⿰釒𱺵		
𬫥	⿰釒季	しとみがね	u
𬫦	⿰釒命	メイ ミョウ	p:命
𬫧	⿱⿰示⿹勹丿金	たがね	u
𬫨	⿱炎金	エン	p:炎
𬫩	⿰釒底	テイ	p:底
𬫪	⿰釒⿱玄巾	キン フク	p:巾
𬫫	⿰釒㐭	リン	p:㐭
𬫬	⿰釒⿱孓皿	ベイ	p:皿
𬫭	⿰釒厘	かなひかき	u
𬫮	⿰釒⿱廿⿻月丨	コン シ	p:丨
𬫯	⿰釒茂	モ	p:茂
𬫰	⿰釒苻	あぶみ	u
𬫱	⿰釒瓮	ほとぎ	u
𬫲	⿰釒斿	ヨウ ヨ	p:斿
𬫳	⿰釒泰	タイ	p:泰
𬫴	⿰釒⿳大日小	ショウ	p:小
𬫵	⿰釒素	ソ ス	p:素
𬫶	⿰釒倝	カン	p:倝
𬫷	⿰釒唇	シン	p:唇
𬫸	⿰釒𬙜		
𬫹	⿰釒𭯍		
𬫺	⿰釒候	コウ	p:候
𬫻	⿰釒釜	かなほこ	u
𬫼	⿳亠厶⿲月金几	キ	p:几
𬫽	⿰釒旅	リョ	p:旅
𬫾	⿰釒𭆞	たがに	u
𬫿	⿰釒戛	カツ	p:戛
𬬀	⿰釒崗	コウ	p:崗
𬬁	⿰釒犁	リ レイ	p:犁
𬬂	⿰釒笠	かぶと	u
𬬃	⿰錦⿱⿰㇒㇖丨	コン シ	p:丨
𬬄	⿰釒寄	キ	p:寄
𬬅	⿰釒壹	イチ イツ	p:壹
𬬆	⿱軽金	ケイ キョウ	p:軽
𬬇	⿱⿱车⿰车车金	シャ	v:𨰵
𬬈	⿰釒⿱芴木	やな	u
𬬉	⿰釒𠷰	へら	u
𬬊	⿰釒然	かがり	u
𬬋	⿰釒嗇	ショク	p:嗇
𬬌	⿰錢本	ホン	p:本
𬬍	⿰釒楊	ヨウ	p:楊
𬬎	⿰釒園	エン	p:園
𬬏	⿰釒睗	セキ シャク	p:睗
𬬐	⿰鍾方	ホウ	p:方
𬬑	⿰釒雍	ヨウ ユ	p:雍
𬬒	⿰釒⿱取𧰨	コウ	p:𧰨
𬬓	⿰釒碧	ヘキ ヒャク	p:碧
𬬔	⿰釒疑	ギ	p:疑
𬬕	⿰釒⿱罒⿱𠀎𧘇	モウ ボウ	p:罒
𬬖	⿰釒魁	カイ	p:魁
𬬗	⿰釒盡	じん	u
𬬘	⿳⿱亠厶罒⿲⺼金⿻⿻㇈丿丶	チュ	p:丶
𬬙	⿰釒蔣	ショウ ソウ	p:蔣
𬬚	⿰釒膚	フ	p:膚
𬬛	⿰釒盤	バン	p:盤
𬬜	⿱⿰歯殳金	シュ	p:殳
𬬝	⿰釒⿳爫𥄲乂	ガイ カイ	p:乂
𬬞	⿰釒𫂐		
𬬟	⿰釒⿱㐭泉	セン	p:泉
𬬠	⿰釒彌	ミ ビ	p:彌
𬬡	⿰釒薰	クン	p:薰
𬬢	⿰釒⿱⿰㠯⿱？又⿰㠯帀	かぬち	u
𬬣	⿰釒⿱被風	ふき	u
𬬤	⿰釒囂	ゴウ キョウ	p:囂
𬬥	⿰釒囊	ノウ ドウ	p:囊
𬬦	⿰釒戀	レン	p:戀
𬬧	⿰钅干	カン こて	v:釬
𬬨	⿰钅亏	カ オ ゲ ゴ	v:釫
𬬩	⿰钅弋	ヨク ヨキ	v:釴
𬬪	⿰钅口	コウ ク ぼたん	v:釦
𬬫	⿰钅比	ヒ ビ ヘイ	v:鈚
𬬬	⿰钅韦	イ	v:鍏
𬬭	⿰钅仑	リン フン うさぎあみ	v:錀
𬬮	⿰钅长	チョ チョウ するど.い	v:鋹
𬬯	⿰钅壬	ジン ぬ.れる	v:鈓
𬬰	⿰钅仓	ソウ ショウ やり	v:鎗
𬬱	⿰钅斤	キン	v:釿
𬬲	⿰钅爪	ヘキ ヒャク ハク はながき	v:釽
𬬳	⿰钅𠂔	セイ ザイ	v:𨥦
𬬴	⿰钅夭	ヨウ オウ	p:夭
𬬵	⿰钅冘	チン ジン シン	v:鈂
𬬶	⿰钅为	イ	p:为
𬬷	⿰钅石	セキ ジャク	v:鉐
𬬸	⿰钅术	ジュツ シュツ シュチ ながいはり	v:鉥
𬬹	⿰钅申	シン	v:鉮
𬬺	⿰钅且	ショ ソ すき	v:鉏
𬬻	⿰钅卢	ロ いろり	v:鑪
𬬼	⿰钅业	ホク	p:业
𬬽	⿰钅乍	サク かま せいろう こしき	v:鈼
𬬾	⿰钅宁	ドウ ニョウ デイ	v:鑏
𬬿	⿰钅召	ショウ おおかま	v:鉊
𬭀	⿰钅台	シ イ タイ タリウム	v:鈶
𬭁	⿰钅母	ボウ けら	v:鉧
𬭂	⿰钅弘	コウ グ	p:弘
𬭃	⿰钅㔻	ヒ ビ	v:銔
𬭄	⿰钅西	セイ サイ	p:西
𬭅	⿰钅后	コウ グ くびかせ	v:銗
𬭆	⿰钅朵	ダ タ	p:朵
𬭇	⿰钅会	カク キャク ソウ	v:𨭗
𬭈	⿰钅宅	タク	p:宅
𬭉	⿰钅齐	セイ サイ	v:鑇
𬭊	⿰钅杜	ト トウ	p:杜
𬭋	⿰钅戒	カイ	p:戒
𬭌	⿰钅吴	カ ゲ コ すき	v:鋘
𬭍	⿰钅旱	カン ガン こて	v:銲
𬭎	⿰钅宏	コウ オウ うつわ	v:鋐
𬭏	⿰钅阳	ヨウ	v:鐊
𬭐	⿰钅矣	イ	p:矣
𬭑	⿰钅事	シ さす	v:𨧫
𬭒	⿰钅⿱艹冗	ジョウ	p:冗
𬭓	⿰钅典	テン かま	v:錪
𬭔	⿰钅齿	サク おおばん	v:鑡
𬭕	⿰钅周	トウ ドウ チョウ	v:錭
𬭖	⿰钅朋	ホウ ビョウ	v:錋
𬭗	⿰钅委	ズイ ニ ツイ イ	v:錗
𬭘	⿰钅舍	セキ シャ	p:舍
𬭙	⿰钅单	タン	p:单
𬭚	⿰钅享	シュン トン タイ ズイ	v:錞
𬭛	⿰钅波	ハ	p:波
𬭜	⿰钅戾	ライ レ レイ かんな	v:錑
𬭝	⿰钅参	サン ショウ	v:鏒
𬭞	⿰钅耷	トウ	v:𨨹
𬭟	⿰钅奏	ソウ シュ	v:𨨯
𬭠	⿰钅查	サ	p:查
𬭡	⿰钅苕	ショウ チョウ	v:鍣
𬭢	⿰钅贵	キ	v:鐀
𬭣	⿰钅泉	セン	p:泉
𬭤	⿰钅侯	コウ グ や	v:鍭
𬭥	⿰钅怱	ソウ ス ボウ ム	v:鍯
𬭦	⿰钅⿸辰寸	ドウ ジョク ヌ ジュク	v:鎒
𬭧	⿰钅眗	ク コウ	p:眗
𬭨	⿰钅追	ツイ タイ つち	v:鎚
𬭩	⿰钅翁	オウ オ	v:鎓
𬭪	⿰钅害	カツ くさび	v:鎋
𬭫	⿰钅展	テン	p:展
𬭬	⿰钅彗	エイ エ ケイ セイ	v:鏏
𬭭	⿰钅戚	セキ シャク	v:鏚
𬭮	⿰钅𬜯	リョウ	p:𬜯
𬭯	⿰钅敝	ヘツ	v:䥕
𬭰	⿰钅寅	イ イン	v:鏔
𬭱	⿰钅⿱𬉸心	シン	p:心
𬭲	⿰钅巢	サ くさり とざ.す	v:鏁
𬭳	⿰钅喜	キ	v:𨭎
𬭴	⿰钅絜	ニッケル	v:䥛
𬭵	⿰钅彭	ホウ	p:彭
𬭶	⿰钅黑	コク	p:黑
𬭷	⿰钅牚	トウ チョウ	p:牚
𬭸	⿰钅粦	リン レイ リョウ つよ.い	v:鏻
𬭹	⿰钅𰭢	シュウ ソウ	p:𰭢
𬭺	⿰钅剽	ヒョウ	v:𨭚
𬭻	⿰钅敫	キョウ	v:䥞
𬭼	⿰钅遂	スイ	v:鐩
𬭽	⿰钅辟	ヘキ ヒャク ヘイ からすきのみみ	v:鐴
𬭾	⿰钅算	サン	p:算
𬭿	⿰钅⿱𮂱旨	ケイ かた.い	v:鑙
𬮀	⿰钅興	コウ キョウ	p:興
𬮁	⿰钅薄	ハク おおがね	v:鑮
𬮂	⿰钅⿱⿱⿴𦥑同冖贝	バイ	p:贝
𬮃	⿰钅纂	サン	v:𨰭
𬮄	⿰镸乔	キョウ ギョウ	v:𨲭
𬮅	⿵門力	ひらく	u
𬮆	⿵門也	しなたりくぼ	u
𬮇	⿵門犬	ケン	p:犬
𬮈	⿵門𱼀		
𬮉	⿵門出	シュツ スイ	p:出
𬮊	⿵門夾	キョウ コウ	p:夾
𬮋	⿵門⿰犭攵	ホク	p:攵
𬮌	⿰㪯門	キョ	p:㪯
𬮍	⿵門洪	コウ	p:洪
𬮎	⿰美門	ビ ミ	p:美
𬮏	⿵門射	シャ	p:射
𬮐	⿵門旅	リョ	p:旅
𬮑	⿵門書	ききがき	u
𬮒	⿵門密	ミツ	p:密
𬮓	⿵門棘	キョク	p:棘
𬮔	⿱柬𬮈	カン ケン	p:柬
𬮕	⿵門煙	エン	p:煙
𬮖	⿵門漣	かん	u
𬮗	⿵門膚	フ	p:膚
𬮘	⿰门人	コク ワク	v:閄
𬮙	⿵门万	マン バン	p:万
𬮚	⿵门工	コウ ク	p:工
𬮛	⿵门上	ジョウ ショウ	p:上
𬮜	⿵门天	テン	p:天
𬮝	⿵门犬	ケン	p:犬
𬮞	⿵门今	コン キン	p:今
𬮟	⿵门火	リン	v:焛
𬮠	⿵门可	カ ア ケ	v:閜
𬮡	⿵门外	ケイ カン	v:𨳿
𬮢	⿵门共	コウ とき	v:閧
𬮣	⿵门匡	キョウ コウ キョク コク	v:𨴑
𬮤	⿵门合	コウ くぐりど	v:閤
𬮥	⿵门众	シュク おお.い	v:閦
𬮦	⿵门关	カン ワン ケン せき	u
𬮧	⿵门汒	ボウ モウ	p:汒
𬮨	⿵门赤	カク	v:䦝
𬮩	⿵门系	ケイ	v:𨵆
𬮪	⿵门沙	サ シャ	v:閯
𬮫	⿰𫔭午	ゴ	p:午
𬮬	⿵门青	セイ ショウ	p:青
𬮭	⿵门规	キ うかが.う	v:闚
𬮮	⿵门奇	キ ギ	v:𨵤
𬮯	⿵门卦	ケツ	v:𨵗
𬮰	⿵门阿	ア	v:𨵌
𬮱	⿵门垔	イン エン	v:闉
𬮲	⿵门要	ヨウ	v:闄
𬮳	⿵门品	ハン ヘン みる	v:闆
𬮴	⿵门音	アン オン やみ くら.い	v:闇
𬮵	⿵门限	カン ゲン	v:𨵬
𬮶	⿰𫔭希	キ ケ	p:希
𬮷	⿵门𱑏	モン	p:门
𬮸	⿵门童	ドウ	p:童
𬮹	⿵门登	トウ ト	p:登
𬮺	⿰阝马	バ メ フウ ブ	v:䧞
𬮻	⿰阝乌	オ ウ つつ.み	v:隖
𬮼	⿰阝欠	ケツ ケン	p:欠
𬮽	⿰阝⿻𠃔丶	チュ	p:丶
𬮾	⿰阝丘	キュウ	p:丘
𬮿	⿰阝岂	カイ キ ゲ なが.い	v:隑
𬯀	⿰阝齐	セイ サイ のぼ.る	v:隮
𬯁	⿰阝辛	けち	u
𬯂	⿰阝言	ゲン ゴン	p:言
𬯃	⿰阝㳄	セン	p:㳄
𬯄	⿱⿰阝左土	ド ト	p:土
𬯅	⿰阝⿷匚夹	キョウ コウ せま.い	v:陿
𬯆	⿰阝易	エキ イ	p:易
𬯇	⿰阝𭎊		
𬯈	⿰阜匋	トウ ヨウ	p:匋
𬯉	⿰阝金	キン コン	p:金
𬯊	⿰阝参	サン シン	p:参
𬯋	⿰阝甚	ジン	p:甚
𬯌	⿰阝春	シュン	p:春
𬯍	⿰阝⿳𡭔𫜹小	ショウ	p:小
𬯎	⿰阝贵	タイ ズイ タ お.ちる	v:隤
𬯏	⿰阝泉	セン	p:泉
𬯐	⿰阝荑	テイ ダイ	p:荑
𬯑	⿰阝倍	バイ	p:倍
𬯒	⿰阝䍃	ユウ ユ	p:䍃
𬯓	⿰阝𫩁		
𬯔	⿰阝⿱東土	ド ト	p:土
𬯕	⿰阝畢	ヒツ	p:畢
𬯖	⿰阝酓	エン タン	p:酓
𬯗	⿰阝悤	ソウ	p:悤
𬯘	⿰阝參	サン シン	p:參
𬯙	⿰阝𤔔	ラン	p:𤔔
𬯚	⿰阝奠	テン デン	p:奠
𬯛	⿰阝⿸户⿰丏犬	ケン	p:犬
𬯜	⿱阿芮	ゼイ ネイ	p:芮
𬯝	⿰阝𢛲		
𬯞	⿰阝⿳夕甾又	ユウ	p:又
𬯟	⿲阝⿱聿口攵	ホク	p:攵
𬯠	⿰阝察	サツ	p:察
𬯡	⿰阝蔡	サイ	p:蔡
𬯢	⿰阝⿱酉𰫝	ユウ	p:酉
𬯣	⿰阿曾	ソウ ソ	p:曾
𬯤	⿰阝⿳𥫗兒山	サン セン	p:山
𬯥	⿰阝⿱萬田	デン	p:田
𬯦	⿰阝𬙩		
𬯧	⿰阝彝	イ	p:彝
𬯨	⿰阝䜌	レン ラン	p:䜌
𬯩	⿱阿賴	ライ	p:賴
𬯪	⿱隹止	シ	p:止
𬯫	⿳隹冖土	ド ト	p:土
𬯬	⿰光隹	コウ	p:光
𬯭	⿱隹𰅱		
𬯮	⿰𪩡隹		
𬯯	⿰者隹	シャ	p:者
𬯰	⿰隻礼	レイ ライ	p:礼
𬯱	⿰隺告	コク	p:告
𬯲	⿰芻隺	ひなづる	u
𬯳	⿰隺眞	まなづる	u
𬯴	⿲隹心隹	シン	p:心
𬯵	⿱賏隹	ク グ キョク おそれる	u
𬯶	⿱⿴𦥑辛隹	シン	p:辛
𬯷	⿰差雐	コ ク	p:雐
𬯸	⿱雨丸	あられ	u
𬯹	⿱雨殳	シュ	p:殳
𬯺	⿱雨予	ヨ シャ	p:予
𬯻	⿱雨市	シ	p:市
𬯼	⿱雨利	リ	p:利
𬯽	⿱雨𬇚		
𬯾	⿱雨枝	シ	p:枝
𬯿	⿱雨明	メイ ミョウ	p:明
𬰀	⿱雨泡	ホウ	p:泡
𬰁	⿱雨斉	サイ ザイ セイ はれる	u
𬰂	⿱雨法	ホウ ハッ	p:法
𬰃	⿱雨沫	マツ バツ	p:沫
𬰄	⿱雨頁	ケツ	p:頁
𬰅	⿱雨俞	ユ チュウ	p:俞
𬰆	⿱雨浄	ジョウ セイ	p:浄
𬰇	⿱雨⿰矛文	ブン モン	p:文
𬰈	⿱雨時	しぐれ	u
𬰉	⿰雷艮	コン ゴン	p:艮
𬰊	⿱雨這	シャ ゲン	p:這
𬰋	⿱雨琳	リン	p:琳
𬰌	⿱雨創	ソウ ショウ	p:創
𬰍	⿱雨㜀		
𬰎	⿰雲重	ジュウ チョウ	p:重
𬰏	⿱雨裔	エイ	p:裔
𬰐	⿱雨𥺀		
𬰑	⿱霝示	ジ シ	p:示
𬰒	⿱雨㝬	コ	p:㝬
𬰓	⿱雨察	サツ	p:察
𬰔	⿱雨隠	イン オン	p:隠
𬰕	⿱雨䩻	ハ	p:䩻
𬰖	⿺霓夢	ム ボウ	p:夢
𬰗	⿰青巧	コウ	p:巧
𬰘	⿰青丘	キュウ	p:丘
𬰙	⿱非𫜹		
𬰚	⿱非立	リツ リュウ	p:立
𬰛	⿰召非	ショウ	p:召
𬰜	⿱吾非	ゴ	p:吾
𬰝	⿱般非	ハン	p:般
𬰞	⿱非務	ム	p:務
𬰟	⿸廌非	チ	p:廌
𬰠	⿱末面	マツ バツ	p:末
𬰡	⿰面罗	ラ	v:𩉙
𬰢	⿰密面	ミツ	p:密
𬰣	⿱渐面	セン	v:𩉍
𬰤	⿰革纣	チュウ	v:𩋰
𬰥	⿰革两	リョウ	v:䩫
𬰦	⿰革固	しころ	u
𬰧	⿰⿱廿⿻口十㒸	スイ ズイ	p:㒸
𬰨	⿰革雲	ゆがけ	u
𬰩	⿰革菊	キク	p:菊
𬰪	⿰韋帀	ソウ	p:帀
𬰫	⿹𢦏韋	サイ	p:𢦏
𬰬	⿰韋𠧗	こはぜ	u
𬰭	⿰韋吊	チョウ	p:吊
𬰮	⿰韋⿱爫皿	ベイ	p:皿
𬰯	⿰韋壽	ジュ ス	p:壽
𬰰	⿰韋襄	ジョウ ショウ	p:襄
𬰱	⿰韦干	カン	v:𩎒
𬰲	⿰韦风	イ	v:𩘚
𬰳	⿰韦占	チョウ	v:䪓
𬰴	⿰韦付	フ	p:付
𬰵	⿰韦曷	カツ	p:曷
𬰶	⿰韦惠	ケイ スイ ゲイ ズイ	v:韢
𬰷	⿰韦詹	セン エン	v:䪜
𬰸	⿳⿲木缶木冖韦	ウツ ウチ	v:𩏴
𬰹	⿰音由	ユ ユウ	p:由
𬰺	⿰音业	ギョウ ゴウ	v:𩑃
𬰻	⿰音禾	カ	p:禾
𬰼	⿰音⿱刀日	ニチ ジツ	p:日
𬰽	⿱攸音	ユウ	p:攸
𬰾	⿰音龠	ヤク	p:龠
𬰿	⿰刀頁	トウ	p:刀
𬱀	⿰于頁	ウ ク	p:于
𬱁	⿰永頁	エイ	p:永
𬱂	⿰必頁	ヒツ	p:必
𬱃	⿰名頁	メイ ミョウ	p:名
𬱄	⿰⿱匕永頁	エイ	p:永
𬱅	⿰𰀾頁		
𬱆	⿰克頁	コク	p:克
𬱇	⿰坌頁	ホン フン	p:坌
𬱈	⿰⿱回又頁	ユウ	p:又
𬱉	⿰⿱日尹頁	イン	p:尹
𬱊	⿰⿱甘水頁	スイ	p:水
𬱋	⿰⿱券一頁	あしもと	u
𬱌	⿰⿱日君頁	クン	p:君
𬱍	⿱順於	オ ヨ	p:於
𬱎	⿰頂倍	バイ	p:倍
𬱏	⿰⿱立隹頁	がん	u
𬱐	⿰⿱正⿱罒⿴⿰⿱丶㇀⿱㇒丶丨頁	コン シ	p:丨
𬱑	⿰⿳吅宁吅頁	ケン カン	p:吅
𬱒	⿰頁𠓗	フ ハク	p:𠓗
𬱓	⿰九页	キュウ グ キ ギ	v:頄
𬱔	⿰尤页	ユウ ウ	v:𩑣
𬱕	⿰⿱⺈又页	オツ オチ ボツ モチ	v:𩑦
𬱖	⿰由页	テキ ジャク うつく.しい よい	v:頔
𬱗	⿰占页	タン テン	v:頕
𬱘	⿰斥页	ケツ	p:页
𬱙	⿰半页	ハン わかつ	v:頖
𬱚	⿰必页	ケツ	p:页
𬱛	⿰页页	サン セン ソン	v:𩔊
𬱜	⿰耒页	ライ レ	v:頛
𬱝	⿰㫐页	コン	v:𩒝
𬱞	⿱吅页	キョウ	v:𠽸
𬱟	⿰危页	ガイ ギ しとやか	v:頠
𬱠	⿰舌页	カツ カチ ゲチ	v:頢
𬱡	⿰朶页	タ	v:𩒜
𬱢	⿰军页	ゴン コン	v:顐
𬱣	⿰岑页	シン ジン	v:䫈
𬱤	⿰𠯑页	カツ タツ	v:𩒲
𬱥	⿰甬页	コウ ク	v:𩒼
𬱦	⿰其页	キ	v:䫏
𬱧	⿰页𱣀	キ	v:𩓸
𬱨	⿰奄页	ケツ	p:页
𬱩	⿰⿱回又页	ケツ	p:页
𬱪	⿰阜页	イ おとがい	v:顊
𬱫	⿰定页	テイ チョウ	v:顁
𬱬	⿰参页	サン	v:䫩
𬱭	⿰革页	ハク	v:𩔈
𬱮	⿰幽页	オウ ヨウ	v:䫜
𬱯	⿰首页	シュ シュウ	v:䭭
𬱰	⿰⿱彡否页	ヒ ビ	v:䫠
𬱱	⿰善页	セン	v:𩕊
𬱲	⿰⿳白穴方页	ベン メン	v:𩕰
𬱳	⿰龠页	ヤク ユ よ.ぶ	v:龥
𬱴	⿺風重	つむじかぜ	u
𬱵	⿺风韦	イ	v:颹
𬱶	⿺⿻几𠄠幻	ゲン	p:幻
𬱷	⿺风夬	ケツ ケチ	v:䫼
𬱸	⿺风戉	ケツ カチ	v:䬂
𬱹	⿺⿻几𠄠北	ホク	p:北
𬱺	⿱夗风	フウ フ	p:风
𬱻	⿰立𲋄	リツ リュウ	p:立
𬱼	⿰岂风	カイ	v:颽
𬱽	⿺风𭻾	セン つむじかぜ	v:颴
𬱾	⿺风林	リン	p:林
𬱿	⿺风或	カク キャク キョク ケキ	v:䬎
𬲀	⿺风忽	コツ コチ クツ クチ	v:䬍
𬲁	⿺⿻几𠄠南	ナン ナ	p:南
𬲂	⿱𲋄俞	ユ チュウ	p:俞
𬲃	⿺⿻几𠄠素	ソ ス	p:素
𬲄	⿰⿻几𠄠容	ヨウ	p:容
𬲅	⿺风尞	リョウ	v:飉
𬲆	⿺风矞	イツ イチ	v:𩘻
𬲇	⿰愈𲋄	ユ	p:愈
𬲈	⿱𲋄興	コウ キョウ	p:興
𬲉	⿹飞白	ハク ビャク	p:白
𬲊	⿰悲𠃧	ヒ	p:𠃧
𬲋	⿰飠夫	フ フウ	p:夫
𬲌	⿰飠帀	ソウ	p:帀
𬲍	⿰飠分	ブン フン	p:分
𬲎	⿰飠毛	モウ	p:毛
𬲏	⿹𢦏食	サイ	p:𢦏
𬲐	⿰飠成	セイ ジョウ	p:成
𬲑	⿰飠旭	キョク	p:旭
𬲒	⿰飠𠤕	ギ ケン	p:𠤕
𬲓	⿰飠攸	ユウ	p:攸
𬲔	⿰飠吝	リン	p:吝
𬲕	⿱斩食	サン ザン セン	v:䭕
𬲖	⿱食⿱？八	ハチ ハツ	p:八
𬲗	⿰飠耍	サ シャ	p:耍
𬲘	⿰飠要	ヨウ	p:要
𬲙	⿰飠𬙬		
𬲚	⿰飠戛	カツ	p:戛
𬲛	⿰飠斯	シ	p:斯
𬲜	⿰飠牚	トウ チョウ	p:牚
𬲝	⿰𩙿⿱酋寸	もたい	u
𬲞	⿰飠媒	バイ	p:媒
𬲟	⿱食𬐧		
𬲠	⿰飠愈	ユ	p:愈
𬲡	⿰飠⿳⿰𠃍𠃍𦊁心	シン	p:心
𬲢	⿰飠𡗉		
𬲣	⿰飠𣃍	セイ セ	p:𣃍
𬲤	⿰⿳飠止土⿳山串又	ユウ	p:又
𬲥	⿰饣卜	シ	v:𩚅
𬲦	⿰饣人	ジ シ かう	v:飤
𬲧	⿰饣亏	ウ	p:亏
𬲨	⿰饣于	ウ ク	p:于
𬲩	⿰饣厄	アク	v:𩚚
𬲪	⿰饣从	ソウ ゾウ	v:𩞆
𬲫	⿰饣占	デン ネン ゼン ダン	v:䬯
𬲬	⿰饣只	シ	v:𩞡
𬲭	⿰饣且	シャ サ ショ ソ	v:飷
𬲮	⿰饣氐	テイ タイ ダイ	v:䬫
𬲯	⿰饣句	コウ ク	v:䬲
𬲰	⿰饣⿱𠂉𠃓	ショウ	v:𩞃
𬲱	⿰饣它	タ	p:它
𬲲	⿰饣宁	ドウ ニョウ	v:䭢
𬲳	⿰饣𠬤	エキ ヤク	v:䭞
𬲴	⿰饣⿱山口	バン マン	v:𩛎
𬲵	⿰饣⿹勹殳	シュ	p:殳
𬲶	⿰饣齐	シ むしもち	v:䭣
𬲷	⿰饣艮	ゴン	v:䬶
𬲸	⿰饣过	カ	v:𩟂
𬲹	⿰饣芒	ボウ コウ	p:芒
𬲺	⿰饣孚	ホウ	v:𩛞
𬲻	⿰饣弟	テイ ダイ	v:䬾
𬲼	⿰饣奄	ヨウ	v:餣
𬲽	⿰饣其	キ ギ	p:其
𬲾	⿰饣固	グ コ ク	v:䭅
𬲿	⿰饣岩	ガン	p:岩
𬳀	⿰饣⿹勹吉	エツ エチ	v:䭇
𬳁	⿰饣肴	コウ ギョウ そな.える	v:餚
𬳂	⿰饣叕	テツ テチ テイ まつ.る	v:餟
𬳃	⿰饣畐	ヒョク ヒキ	v:𩜰
𬳄	⿰饣南	ナン ナ	p:南
𬳅	⿰饣⿱左⺝	スイ イ	v:䭉
𬳆	⿰饣衍	ケン コン セン かゆ	v:餰
𬳇	⿰饣宣	セン	p:宣
𬳈	⿰饣𠳋	ケン	v:𩝡
𬳉	⿰饣𦐇	トウ	v:𩝣
𬳊	⿰饣舀	トウ こなもち	v:饀
𬳋	⿰饣息	ショク ソキ	v:䭒
𬳌	⿰饣臭	キュウ ク	v:𩝠
𬳍	⿰饣唐	トウ あめ	v:餹
𬳎	⿰饣戛	カツ	p:戛
𬳏	⿰饣𬜯	リョウ	p:𬜯
𬳐	⿰饣崇	シュウ ジュ	v:𩞉
𬳑	⿰饣景	エイ ヨウ	v:䭘
𬳒	⿰饣登	トウ	v:𩞬
𬳓	⿰饣雍	ヨウ ユ	v:𩟀
𬳔	⿰饣麽	マ バ	p:麽
𬳕	⿰首竹	チク	p:竹
𬳖	⿰首仰	ギョウ コウ	p:仰
𬳗	⿰甫首	ホ フ	p:甫
𬳘	⿰首肖	ショウ	p:肖
𬳙	⿰首庙	ビョウ	p:庙
𬳚	⿰首捉	ソク サク	p:捉
𬳛	⿰首数	スウ ス	p:数
𬳜	⿰香歹	ガツ ガチ	p:歹
𬳝	⿰豖香	チョク チク	p:豖
𬳞	⿰香宛	エン	p:宛
𬳟	⿰香贲	フン ボン	v:馩
𬳠	⿱秋香	シュウ	p:秋
𬳡	⿰香𡘤	エン	p:𡘤
𬳢	⿱射香	シャ	p:射
𬳣	⿰香旁	ボウ ホウ	p:旁
𬳤	⿰香匿	トク	p:匿
𬳥	⿰香鳥	チョウ	p:鳥
𬳦	⿰香貪	タン ドン	p:貪
𬳧	⿱鄉香	キョウ	p:鄉
𬳨	⿰馬𫜹		
𬳩	⿰馬攴	ホク	p:攴
𬳪	⿰尹馬	イン	p:尹
𬳫	⿰馬劦	キョウ リョウ	p:劦
𬳬	⿰馬更	コウ	p:更
𬳭	⿰岡馬	コウ	p:岡
𬳮	⿰馬京	キョウ ケイ	p:京
𬳯	⿰馬参	サン そえうま そえのり	u
𬳰	⿰馬盗	つきげ	u
𬳱	⿰馬貴	キ	p:貴
𬳲	⿰馬羼	サン セン	p:羼
𬳳	⿰马风	ハン ボン ヘン はし.る	v:颿
𬳴	⿰马平	ヒ ビ ホウ ヒョウ	v:駍
𬳵	⿰马丕	ヒ しらかげ	v:駓
