吺	⿰口殳	トウ ツ ジュ ニュ	u
吿	⿱牛口	コク コウ キク ガク	u
呁	⿰口匀	キン	u
呅	⿰口文	バイ メ ブン モン	u
呋	⿰口夫	フ	u
呌	⿰口斗	キョウ さけぶ	u
呐	⿰口内	トツ どもる	u
呒	⿰口无	ブ ム さぞ さぞや	v:嘸
呓	⿰口艺	ゲイ	v:囈
呔	⿰口太	タイ タ	p:太
呖	⿰口历	レキ リャク	v:嚦
呗	⿰口贝	バイ うた うた.う	v:唄
员	⿱口贝	イン	v:員
呙	⿱口内	カイ ケ クウ カ	v:咼
呚	⿰口攵	キ カツ ゲチ	u
呛	⿰口仓	ショウ ソウ ついば.む むせ.る	v:嗆
呜	⿰口乌	ウ オ ああ	v:嗚
呝	⿰口戹	アク ヤク アイ ア	u
呠	⿰口本	ホン	u
呡	⿰口民	ブン モン	u
呣	⿰口母	ボウ	u
呥	⿰口冉	ゼン ネン	u
呯	⿰口平	ヘイ ビョウ	u
呲	⿰口此	シ ジ イ	u
呸	⿰口丕	ヒ	u
呹	⿰口失	イツ イチ チツ チチ	u
呺	⿰口号	コウ ゴウ キョウ ク	u
呾	⿰口旦	タツ タチ アツ エチ	u
咂	⿰口匝	ソウ	u
咇	⿰口必	ヘツ ベチ ヒツ ヒチ	u
咓	⿰口瓦	ガ ゲ	u
咔	⿰口卡	ロウ	u
咗	⿰口左	サ シャ	p:左
咘	⿰口布	フ ホ	p:布
咙	⿰口龙	ロウ ル のど	v:嚨
咚	⿰口冬	トウ	p:冬
咛	⿰口宁	ネイ ニョウ	v:嚀
咝	⿰口丝	シ	p:丝
咞	⿰口开	ケン	u
咣	⿰口光	コウ	u
咰	⿰口旬	シュツ シュチ シュン	u
咴	⿰口灰	カイ ケ	u
咵	⿰口夸	カ ケ	u
咶	⿰口舌	カツ カイ シ ケ	u
哅	⿰口匈	コウ ク キョウ	u
哋	⿰口地	テツ	u
哌	⿰口𠂢	ハ ハイ	p:𠂢
哏	⿰口艮	コン	u
哐	⿰口匡	キョウ オウ	p:匡
哑	⿰口亚	ア おし	v:啞
