壊	⿰土⿱十𭾱	8	727	カイ エ	こわ.す こわ.れる やぶ.る		ケ	u	16	⿰土⿱⿱十⺫衣
廻	⿺廴回	9	0	カイ エ	まわ.る まわ.す もとお.る めぐ.る	ざこ じゃく	めぐり	u	9	
快	⿰忄夬	5	1074	カイ	こころよ.い	よし	ケ	u	7	
怪	⿰忄圣	8	1634	カイ ケ	あや.しい あや.しむ				8	
悔	⿰忄毎	8	1460	カイ	く.いる く.やむ くや.しい		くやみ	u	9	⿰忄每
恢	⿰忄灰	9	0	カイ ケ	ひろ.い		キ	u	9	⿰忄⿸𠂇火
懐	⿰忄⿱十𭾱	8	1493	カイ エ	ふところ なつ.かしい なつ.かしむ なつ.く	かね	なつける いだく おもい こころ	u	16	⿰忄⿱⿱十⺫衣
戒	⿹戈廾	8	1062	カイ	いまし.める		いましめ	u	7	
拐	⿰扌叧	8	1498	カイ			ゲ かたる	u	8	⿰扌另
改	⿰己攵	4	147	カイ	あらた.める あらた.まる		キ	u	7	
魁	⿺鬼斗	9	2108	カイ	さきがけ かしら				14	⿺⻤斗
晦	⿰日毎	9	0	カイ	つごもり くら.い みそか くら.む	もり	ケ	u	10	⿰日每
械	⿰木戒	4	1321	カイ	かせ		ガイ	u	11	
海	⿰氵毎	2	200	カイ	うみ	あ あま うな うん え か			9	⿰氵每
灰	⿸厂火	6	1717	カイ	はい		ケ	u	6	⿸𠂇火
界	⿱田介	3	158	カイ			さかい	u	9	
皆	⿱比白	8	1267	カイ	みな みんな	むな	キ	u	9	
絵	⿰糸会	2	895	カイ エ					12	
芥	⿱艹介	9	1929	カイ ケ	からし ごみ あくた		カツ ケチ	u	7	
蟹	⿱解虫	9	2417	カイ	かに		ゲ	u	19	
開	⿵門开	3	59	カイ	ひら.く ひら.き -びら.き ひら.ける	はる か ひらき	ケン あく あける	u	12	
階	⿰阝皆	3	513	カイ	きざはし	しな と はし	はしご	u	12	
貝	⿱目八	1	1787	バイ	かい		ハイ	u	7	
凱	⿰豈几	9	2293	ガイ カイ	かちどき やわらぐ				12	
劾	⿰亥力	8	2085	ガイ			カイ コク ゴク	u	8	
外	⿰夕卜	2	81	ガイ ゲ	そと ほか はず.す はず.れる	うい け ふか	ガツ ガチ	u	5	
咳	⿰口亥	0	0	カイ ガイ	せ.く しわぶ.く せき しわぶき		アイ	u	9	
害	⿳宀龶口	4	358	ガイ			カイ カツ そこなう なんぞ	u	10	⿱𫲸口
崖	⿱山厓	8	0	ガイ ゲ ギ	がけ きし はて				11	
慨	⿰忄既	8	1875	ガイ	なげ.く		カイ	u	13	
概	⿰木既	8	1335	ガイ	おおむ.ね		カイ キ コツ おもむき	u	14	
涯	⿰氵厓	8	1525	ガイ	はて		ゲ ガ ギ きし	u	11	
碍	⿰石㝵	0	0	ガイ ゲ	さまた.げる		ギ	u	13	
蓋	⿱艹盍	8	2388	ガイ カイ コウ	ふた けだ.し おお.う かさ		カツ ゴウ カチ	u	13	
街	⿲彳圭亍	4	891	ガイ カイ	まち	また	キ	u	12	⿴行圭
該	⿰言亥	8	1648	ガイ			カイ かねる その	u	13	
鎧	⿰金豈	9	0	カイ ガイ	よろ.う よろい				18	
骸	⿰骨亥	8	0	ガイ カイ	むくろ				16	
浬	⿰氵里	9	0	リ	かいり のっと				10	
馨	⿱殸香	9	2164	ケイ キョウ	かお.る かおり	か かおる きよ よし かほる			20	
蛙	⿰虫圭	0	0	ア ワ	かえる かわず		ワイ カイ カ ケ	u	12	
垣	⿰土亘	8	1539	エン	かき	がい	オン カン ガン	u	9	
柿	⿰木市	8	1745	シ	かき				9	
蛎	⿰虫厉	0	0	レイ	かき				11	
鈎	⿰金勾	0	0	コウ ク	かぎ				12	
劃	⿰畫刂	0	0	カク	わ.かつ くぎ.る				14	
嚇	⿰口赫	8	2141	カク	おど.す		ケ カ キャク	u	17	
各	⿱夂口	4	243	カク	おのおの	かか かが			6	
廓	⿸广郭	0	0	カク	くるわ とりで				14	
拡	⿰扌広	6	611	カク コウ	ひろ.がる ひろ.げる ひろ.める				8	
撹	⿰扌覚	0	0	カク コウ	みだ.す				15	
格	⿰木各	5	281	カク コウ キャク ゴウ		いたる のり	ラク ただす	u	10	
